Round: 1 -- workload: SimulationWorkspace/workloads/workload-mid.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 12:02:40.055980 - 26/08/2026
Processed request 2, latency 45, pending requests 1 

Processed request 22, latency 16, pending requests 1 

Processed request 39, latency 14, pending requests 0 

Processed request 58, latency 37, pending requests 0 

Processed request 74, latency 17, pending requests 1 

Processed request 91, latency 26, pending requests 2 

Processed request 111, latency 18, pending requests 0 

Processed request 133, latency 15, pending requests 0 

Processed request 152, latency 17, pending requests 1 

Processed request 171, latency 37, pending requests 0 

Processed request 195, latency 21, pending requests 0 

Processed request 214, latency 13, pending requests 0 

Processed request 225, latency 16, pending requests 1 

Processed request 243, latency 19, pending requests 1 

Processed request 257, latency 15, pending requests 0 

Processed request 277, latency 17, pending requests 1 

Processed request 297, latency 15, pending requests 0 

Processed request 318, latency 17, pending requests 1 

Processed request 348, latency 16, pending requests 1 

Processed request 370, latency 17, pending requests 0 

Processed request 388, latency 18, pending requests 0 

Processed request 408, latency 16, pending requests 1 

Processed request 425, latency 23, pending requests 0 

Processed request 446, latency 14, pending requests 0 

Processed request 465, latency 14, pending requests 0 

Processed request 490, latency 15, pending requests 0 

Processed request 511, latency 12, pending requests 0 

Processed request 528, latency 17, pending requests 0 

Processed request 546, latency 14, pending requests 1 

Processed request 568, latency 18, pending requests 2 
Processed request 568, latency 14, pending requests 1 


Processed request 590, latency 20, pending requests 2 

Processed request 600, latency 14, pending requests 0 

Processed request 618, latency 12, pending requests 0 

Processed request 647, latency 14, pending requests 0 

Processed request 661, latency 14, pending requests 1 

Processed request 682, latency 12, pending requests 0 

Processed request 701, latency 16, pending requests 2 

Processed request 724, latency 40, pending requests 0 

Processed request 751, latency 17, pending requests 0 

Processed request 765, latency 36, pending requests 0 

Processed request 781, latency 18, pending requests 2 

Processed request 805, latency 23, pending requests 0 

Processed request 829, latency 20, pending requests 0 

Processed request 851, latency 12, pending requests 0 

Processed request 871, latency 14, pending requests 1 

Processed request 891, latency 15, pending requests 1 

Processed request 904, latency 13, pending requests 1 

Processed request 922, latency 13, pending requests 0 

Processed request 945, latency 16, pending requests 0 

Processed request 961, latency 12, pending requests 0 

Processed request 979, latency 14, pending requests 0 

Processed request 995, latency 17, pending requests 0 

Processed request 1022, latency 15, pending requests 2 

Processed request 1043, latency 18, pending requests 0 

Processed request 1064, latency 36, pending requests 0 

Processed request 1087, latency 14, pending requests 0 

Processed request 1110, latency 14, pending requests 0 

Processed request 1138, latency 16, pending requests 0 

Processed request 1161, latency 35, pending requests 1 

Processed request 1177, latency 14, pending requests 0 

Processed request 1204, latency 14, pending requests 0 

Processed request 1230, latency 33, pending requests 1 

Processed request 1248, latency 14, pending requests 0 

Processed request 1272, latency 14, pending requests 1 

Processed request 1289, latency 26, pending requests 1 

Processed request 1308, latency 15, pending requests 1 

Processed request 1327, latency 21, pending requests 0 

Processed request 1343, latency 20, pending requests 0 

Processed request 1357, latency 17, pending requests 1 

Processed request 1377, latency 18, pending requests 1 

Processed request 1399, latency 19, pending requests 2 

Processed request 1423, latency 16, pending requests 0 

Processed request 1439, latency 14, pending requests 0 

Processed request 1459, latency 27, pending requests 1 

Processed request 1471, latency 15, pending requests 0 

Processed request 1486, latency 22, pending requests 0 

Processed request 1510, latency 39, pending requests 1 

Processed request 1531, latency 27, pending requests 0 

Processed request 1545, latency 38, pending requests 1 

Processed request 1554, latency 15, pending requests 0 

Processed request 1579, latency 12, pending requests 0 

Processed request 1593, latency 17, pending requests 0 

Processed request 1611, latency 13, pending requests 0 

Processed request 1634, latency 15, pending requests 1 

Processed request 1658, latency 17, pending requests 0 

Processed request 1679, latency 15, pending requests 0 

Processed request 1700, latency 14, pending requests 0 

Processed request 1730, latency 18, pending requests 0 

Processed request 1750, latency 15, pending requests 0 

Processed request 1767, latency 15, pending requests 0 

Processed request 1788, latency 17, pending requests 0 

Processed request 1811, latency 35, pending requests 0 

Processed request 1828, latency 26, pending requests 0 

Processed request 1845, latency 21, pending requests 2 

