Round: 1 -- workload: SimulationWorkspace/workloads/workload-low.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 17:31:54.459231 - 26/08/2026
Processed request 1, latency 115, pending requests 0 

Processed request 7, latency 17, pending requests 0 

Processed request 12, latency 40, pending requests 0 

Processed request 18, latency 65, pending requests 0 

Processed request 22, latency 16, pending requests 0 

Processed request 24, latency 37, pending requests 0 

Processed request 30, latency 14, pending requests 0 

Processed request 34, latency 12, pending requests 0 

Processed request 40, latency 16, pending requests 0 

Processed request 46, latency 14, pending requests 0 

Processed request 54, latency 36, pending requests 0 

Processed request 56, latency 17, pending requests 0 

Processed request 65, latency 27, pending requests 1 

Processed request 71, latency 20, pending requests 0 

Processed request 77, latency 14, pending requests 0 

Processed request 84, latency 37, pending requests 0 

Processed request 88, latency 13, pending requests 0 

Processed request 91, latency 24, pending requests 0 

Processed request 96, latency 28, pending requests 0 

Processed request 100, latency 13, pending requests 1 

Processed request 104, latency 22, pending requests 0 

Processed request 109, latency 31, pending requests 0 

Processed request 115, latency 37, pending requests 1 

Processed request 120, latency 22, pending requests 0 

Processed request 125, latency 12, pending requests 0 

Processed request 133, latency 103, pending requests 1 

Processed request 139, latency 14, pending requests 0 

Processed request 146, latency 20, pending requests 0 

Processed request 155, latency 20, pending requests 0 

Processed request 159, latency 14, pending requests 0 

Processed request 166, latency 13, pending requests 1 

Processed request 170, latency 13, pending requests 0 

Processed request 175, latency 31, pending requests 1 

Processed request 181, latency 14, pending requests 0 

Processed request 191, latency 13, pending requests 0 

Processed request 193, latency 13, pending requests 0 

Processed request 199, latency 13, pending requests 0 

Processed request 205, latency 26, pending requests 0 

Processed request 215, latency 23, pending requests 0 

Processed request 220, latency 15, pending requests 0 

Processed request 222, latency 40, pending requests 0 

Processed request 230, latency 37, pending requests 0 

Processed request 238, latency 40, pending requests 0 

Processed request 244, latency 14, pending requests 0 

Processed request 249, latency 15, pending requests 0 

Processed request 255, latency 26, pending requests 0 

Processed request 261, latency 47, pending requests 0 

Processed request 268, latency 15, pending requests 0 

Processed request 278, latency 13, pending requests 0 

Processed request 285, latency 35, pending requests 0 

Processed request 293, latency 31, pending requests 0 

Processed request 298, latency 15, pending requests 0 

Processed request 303, latency 16, pending requests 1 

Processed request 308, latency 18, pending requests 0 

Processed request 311, latency 13, pending requests 0 

Processed request 321, latency 15, pending requests 0 

Processed request 327, latency 24, pending requests 0 

Processed request 330, latency 24, pending requests 0 

Processed request 338, latency 14, pending requests 0 

Processed request 343, latency 14, pending requests 0 

Processed request 348, latency 28, pending requests 1 

Processed request 354, latency 16, pending requests 0 

Processed request 364, latency 14, pending requests 0 

Processed request 371, latency 13, pending requests 0 

Processed request 380, latency 13, pending requests 0 

Processed request 385, latency 36, pending requests 1 

Processed request 396, latency 15, pending requests 1 

Processed request 401, latency 37, pending requests 0 

Processed request 405, latency 14, pending requests 0 

Processed request 410, latency 16, pending requests 0 

Processed request 416, latency 33, pending requests 0 

Processed request 421, latency 37, pending requests 1 

Processed request 427, latency 18, pending requests 0 

Processed request 433, latency 22, pending requests 0 

Processed request 441, latency 14, pending requests 0 

Processed request 447, latency 15, pending requests 1 

Processed request 453, latency 12, pending requests 0 

Processed request 459, latency 13, pending requests 0 

Processed request 465, latency 14, pending requests 0 

Processed request 474, latency 13, pending requests 0 

Processed request 477, latency 23, pending requests 0 

Processed request 479, latency 19, pending requests 0 

Processed request 488, latency 21, pending requests 0 

Processed request 498, latency 29, pending requests 0 

Processed request 502, latency 17, pending requests 0 

Processed request 505, latency 19, pending requests 0 

Processed request 513, latency 15, pending requests 0 

Processed request 516, latency 14, pending requests 0 

Processed request 524, latency 22, pending requests 0 

Processed request 528, latency 38, pending requests 0 

Processed request 536, latency 21, pending requests 0 

Processed request 541, latency 17, pending requests 0 

Processed request 548, latency 14, pending requests 0 

Processed request 559, latency 14, pending requests 0 

Processed request 564, latency 15, pending requests 0 

Processed request 569, latency 15, pending requests 0 

Processed request 572, latency 17, pending requests 0 

Processed request 578, latency 14, pending requests 1 

Processed request 584, latency 23, pending requests 0 

Processed request 589, latency 13, pending requests 0 

Processed request 594, latency 35, pending requests 0 

Processed request 601, latency 13, pending requests 0 

Processed request 608, latency 20, pending requests 1 

Processed request 618, latency 13, pending requests 0 

Processed request 626, latency 15, pending requests 0 

Processed request 636, latency 24, pending requests 1 

Processed request 639, latency 32, pending requests 0 

Processed request 646, latency 13, pending requests 0 

Processed request 656, latency 13, pending requests 0 

Processed request 664, latency 14, pending requests 0 

Processed request 669, latency 31, pending requests 0 

Processed request 679, latency 18, pending requests 0 

Processed request 682, latency 41, pending requests 0 

Processed request 687, latency 16, pending requests 0 

Processed request 693, latency 31, pending requests 0 

Processed request 698, latency 35, pending requests 0 

Processed request 702, latency 15, pending requests 0 

Processed request 706, latency 12, pending requests 0 

Processed request 712, latency 13, pending requests 0 

Processed request 718, latency 16, pending requests 0 

Processed request 722, latency 13, pending requests 0 

