Round: 1 -- workload: SimulationWorkspace/workloads/workload-low.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 17:42:00.632179 - 26/08/2026
Processed request 1, latency 27, pending requests 0 

Processed request 7, latency 13, pending requests 0 

Processed request 12, latency 15, pending requests 0 

Processed request 18, latency 29, pending requests 0 

Processed request 22, latency 24, pending requests 0 

Processed request 24, latency 19, pending requests 0 

Processed request 30, latency 34, pending requests 0 

Processed request 34, latency 23, pending requests 0 

Processed request 40, latency 15, pending requests 0 

Processed request 46, latency 31, pending requests 0 

Processed request 54, latency 18, pending requests 0 

Processed request 56, latency 13, pending requests 0 

Processed request 64, latency 16, pending requests 0 

Processed request 71, latency 23, pending requests 0 

Processed request 77, latency 19, pending requests 0 

Processed request 84, latency 13, pending requests 0 

Processed request 88, latency 33, pending requests 0 

Processed request 91, latency 31, pending requests 0 

Processed request 96, latency 12, pending requests 0 

Processed request 100, latency 24, pending requests 1 

Processed request 104, latency 33, pending requests 0 

Processed request 109, latency 17, pending requests 0 

Processed request 114, latency 13, pending requests 0 

Processed request 120, latency 15, pending requests 0 

Processed request 126, latency 31, pending requests 1 

Processed request 132, latency 15, pending requests 0 

Processed request 138, latency 13, pending requests 0 

Processed request 145, latency 36, pending requests 1 

Processed request 147, latency 39, pending requests 0 

Processed request 155, latency 21, pending requests 0 

Processed request 159, latency 12, pending requests 0 

Processed request 166, latency 33, pending requests 1 

Processed request 170, latency 34, pending requests 0 

Processed request 175, latency 13, pending requests 1 

Processed request 182, latency 45, pending requests 1 

Processed request 191, latency 14, pending requests 0 

Processed request 193, latency 38, pending requests 0 

Processed request 199, latency 15, pending requests 0 

Processed request 205, latency 13, pending requests 0 

Processed request 215, latency 13, pending requests 0 

Processed request 220, latency 19, pending requests 0 

Processed request 222, latency 31, pending requests 0 

Processed request 230, latency 17, pending requests 0 

Processed request 238, latency 31, pending requests 0 

Processed request 244, latency 28, pending requests 0 

Processed request 249, latency 13, pending requests 0 

Processed request 255, latency 19, pending requests 0 

Processed request 261, latency 17, pending requests 0 

Processed request 268, latency 22, pending requests 0 

Processed request 279, latency 33, pending requests 1 

Processed request 285, latency 33, pending requests 0 

Processed request 293, latency 34, pending requests 0 

Processed request 298, latency 16, pending requests 0 

Processed request 303, latency 32, pending requests 1 

Processed request 308, latency 35, pending requests 0 

Processed request 311, latency 17, pending requests 0 

Processed request 321, latency 28, pending requests 0 

Processed request 327, latency 15, pending requests 0 

Processed request 330, latency 22, pending requests 0 

Processed request 338, latency 16, pending requests 0 

Processed request 343, latency 13, pending requests 0 

Processed request 348, latency 22, pending requests 1 

Processed request 354, latency 35, pending requests 0 

Processed request 364, latency 19, pending requests 0 

Processed request 371, latency 38, pending requests 0 

Processed request 380, latency 18, pending requests 0 

Processed request 384, latency 19, pending requests 0 

Processed request 396, latency 15, pending requests 1 

Processed request 401, latency 13, pending requests 0 

Processed request 405, latency 14, pending requests 0 

Processed request 410, latency 34, pending requests 0 

Processed request 416, latency 14, pending requests 0 

Processed request 421, latency 34, pending requests 1 

Processed request 427, latency 13, pending requests 0 

Processed request 433, latency 32, pending requests 0 

Processed request 441, latency 22, pending requests 0 

Processed request 447, latency 29, pending requests 1 

Processed request 453, latency 14, pending requests 0 

Processed request 459, latency 16, pending requests 0 

Processed request 465, latency 16, pending requests 0 

Processed request 474, latency 16, pending requests 0 

Processed request 478, latency 39, pending requests 1 

Processed request 479, latency 28, pending requests 0 

Processed request 488, latency 25, pending requests 0 

Processed request 498, latency 36, pending requests 0 

Processed request 502, latency 16, pending requests 0 

Processed request 505, latency 20, pending requests 0 

Processed request 513, latency 13, pending requests 0 

Processed request 516, latency 37, pending requests 0 

Processed request 524, latency 13, pending requests 0 

Processed request 528, latency 19, pending requests 0 

Processed request 536, latency 46, pending requests 0 

Processed request 541, latency 30, pending requests 0 

Processed request 548, latency 12, pending requests 0 

Processed request 559, latency 12, pending requests 0 

Processed request 564, latency 29, pending requests 0 

Processed request 569, latency 15, pending requests 0 

Processed request 572, latency 30, pending requests 0 

Processed request 578, latency 15, pending requests 1 

Processed request 584, latency 34, pending requests 0 

Processed request 589, latency 32, pending requests 0 

Processed request 594, latency 26, pending requests 0 

Processed request 601, latency 24, pending requests 0 

Processed request 608, latency 31, pending requests 1 

Processed request 618, latency 15, pending requests 0 

Processed request 626, latency 14, pending requests 0 

Processed request 635, latency 15, pending requests 0 

Processed request 639, latency 20, pending requests 0 

Processed request 646, latency 32, pending requests 0 

Processed request 656, latency 26, pending requests 0 

Processed request 664, latency 31, pending requests 0 

Processed request 669, latency 13, pending requests 0 

Processed request 679, latency 12, pending requests 0 

Processed request 682, latency 24, pending requests 0 

Processed request 687, latency 18, pending requests 0 

Processed request 693, latency 25, pending requests 0 

Processed request 698, latency 12, pending requests 0 

Processed request 702, latency 16, pending requests 0 

Processed request 706, latency 16, pending requests 0 

Processed request 712, latency 13, pending requests 0 

Processed request 718, latency 37, pending requests 0 

Processed request 722, latency 13, pending requests 0 

Processed request 733, latency 13, pending requests 0 

Processed request 739, latency 29, pending requests 0 

Processed request 747, latency 14, pending requests 1 

Processed request 750, latency 14, pending requests 0 

Processed request 756, latency 30, pending requests 0 

Processed request 762, latency 13, pending requests 0 

Processed request 769, latency 14, pending requests 0 

Processed request 777, latency 12, pending requests 0 

Processed request 781, latency 35, pending requests 0 

Processed request 788, latency 37, pending requests 0 

Processed request 789, latency 22, pending requests 0 

Processed request 796, latency 14, pending requests 0 

Processed request 801, latency 37, pending requests 1 

Processed request 807, latency 24, pending requests 0 

Processed request 812, latency 12, pending requests 0 

Processed request 820, latency 17, pending requests 0 

Processed request 831, latency 17, pending requests 0 

Processed request 835, latency 15, pending requests 0 

Processed request 844, latency 30, pending requests 1 

Processed request 851, latency 37, pending requests 1 

Processed request 860, latency 19, pending requests 0 

Processed request 864, latency 21, pending requests 0 

Processed request 868, latency 17, pending requests 0 

Processed request 873, latency 15, pending requests 0 

Processed request 878, latency 13, pending requests 0 

Processed request 886, latency 37, pending requests 0 

Processed request 891, latency 15, pending requests 0 

Processed request 894, latency 21, pending requests 0 

Processed request 897, latency 12, pending requests 0 

Processed request 904, latency 19, pending requests 1 

Processed request 908, latency 14, pending requests 0 

Processed request 912, latency 14, pending requests 0 

Processed request 918, latency 22, pending requests 0 

Processed request 924, latency 18, pending requests 0 

Processed request 932, latency 30, pending requests 2 

Processed request 937, latency 25, pending requests 0 

Processed request 948, latency 15, pending requests 0 

Processed request 954, latency 16, pending requests 0 

Processed request 959, latency 17, pending requests 0 

Processed request 963, latency 15, pending requests 0 

Processed request 970, latency 33, pending requests 1 

Processed request 976, latency 13, pending requests 0 

Processed request 983, latency 16, pending requests 0 

Processed request 991, latency 33, pending requests 1 

Processed request 997, latency 35, pending requests 0 

Processed request 1002, latency 20, pending requests 0 

Processed request 1007, latency 15, pending requests 0 

Processed request 1018, latency 41, pending requests 1 

Processed request 1023, latency 14, pending requests 0 

Processed request 1026, latency 28, pending requests 0 

Processed request 1033, latency 32, pending requests 0 

Processed request 1037, latency 24, pending requests 0 

Processed request 1044, latency 16, pending requests 0 

Processed request 1046, latency 13, pending requests 0 

Processed request 1050, latency 28, pending requests 0 

Processed request 1057, latency 15, pending requests 0 

Processed request 1063, latency 14, pending requests 0 

Processed request 1067, latency 38, pending requests 1 

Processed request 1073, latency 30, pending requests 0 

Processed request 1077, latency 13, pending requests 0 

Processed request 1084, latency 13, pending requests 0 

Processed request 1088, latency 31, pending requests 0 

Processed request 1094, latency 13, pending requests 0 

Processed request 1102, latency 13, pending requests 0 

Processed request 1108, latency 14, pending requests 0 

Processed request 1117, latency 16, pending requests 1 

Processed request 1122, latency 28, pending requests 0 

Processed request 1128, latency 57, pending requests 0 

Processed request 1134, latency 25, pending requests 0 

Processed request 1139, latency 25, pending requests 0 

