Round: 1 -- workload: SimulationWorkspace/workloads/workload-mid.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 21:17:57.679321 - 26/08/2026
Processed request 1, latency 17, pending requests 0 

Processed request 22, latency 16, pending requests 1 

Processed request 39, latency 28, pending requests 0 

Processed request 58, latency 21, pending requests 0 

Processed request 74, latency 17, pending requests 1 

Processed request 92, latency 29, pending requests 5 

Processed request 111, latency 32, pending requests 0 

Processed request 133, latency 25, pending requests 0 

Processed request 152, latency 25, pending requests 1 

Processed request 171, latency 32, pending requests 0 

Processed request 195, latency 12, pending requests 0 

Processed request 214, latency 14, pending requests 0 

Processed request 224, latency 31, pending requests 0 

Processed request 241, latency 27, pending requests 0 

Processed request 257, latency 18, pending requests 0 

Processed request 277, latency 19, pending requests 0 

Processed request 297, latency 28, pending requests 0 

Processed request 318, latency 21, pending requests 1 

Processed request 348, latency 13, pending requests 1 

Processed request 370, latency 15, pending requests 0 

Processed request 388, latency 16, pending requests 0 

Processed request 409, latency 47, pending requests 2 

Processed request 425, latency 14, pending requests 0 

Processed request 446, latency 31, pending requests 0 

Processed request 467, latency 17, pending requests 2 

Processed request 490, latency 36, pending requests 1 

Processed request 511, latency 19, pending requests 0 

Processed request 528, latency 15, pending requests 0 

Processed request 546, latency 23, pending requests 1 

Processed request 568, latency 27, pending requests 2 

Processed request 589, latency 17, pending requests 1 

Processed request 600, latency 30, pending requests 0 

Processed request 618, latency 25, pending requests 0 

Processed request 648, latency 38, pending requests 1 

Processed request 662, latency 35, pending requests 0 

Processed request 683, latency 34, pending requests 0 

Processed request 704, latency 16, pending requests 1 

Processed request 724, latency 32, pending requests 0 

Processed request 751, latency 12, pending requests 0 

Processed request 765, latency 30, pending requests 0 

Processed request 781, latency 21, pending requests 2 

Processed request 805, latency 14, pending requests 0 

Processed request 829, latency 59, pending requests 1 

Processed request 851, latency 23, pending requests 0 

Processed request 871, latency 22, pending requests 1 

Processed request 891, latency 34, pending requests 1 

Processed request 904, latency 15, pending requests 1 

Processed request 922, latency 14, pending requests 0 

Processed request 945, latency 16, pending requests 0 

Processed request 961, latency 17, pending requests 0 

Processed request 979, latency 14, pending requests 0 

Processed request 995, latency 12, pending requests 1 

Processed request 1023, latency 47, pending requests 5 

Processed request 1043, latency 14, pending requests 0 

Processed request 1064, latency 32, pending requests 0 

Processed request 1087, latency 13, pending requests 0 

Processed request 1110, latency 28, pending requests 0 

Processed request 1138, latency 32, pending requests 0 

Processed request 1161, latency 22, pending requests 1 

Processed request 1177, latency 13, pending requests 0 

Processed request 1205, latency 34, pending requests 1 

Processed request 1230, latency 32, pending requests 1 

Processed request 1248, latency 24, pending requests 0 

Processed request 1272, latency 13, pending requests 1 

Processed request 1288, latency 18, pending requests 0 

Processed request 1309, latency 33, pending requests 2 

Processed request 1327, latency 32, pending requests 0 

Processed request 1343, latency 28, pending requests 0 

Processed request 1357, latency 21, pending requests 1 

Processed request 1378, latency 31, pending requests 2 

Processed request 1399, latency 14, pending requests 1 

Processed request 1424, latency 35, pending requests 1 

Processed request 1439, latency 18, pending requests 0 

Processed request 1459, latency 13, pending requests 1 

Processed request 1471, latency 12, pending requests 0 

Processed request 1486, latency 12, pending requests 0 

Processed request 1510, latency 19, pending requests 1 

Processed request 1531, latency 38, pending requests 0 

Processed request 1544, latency 14, pending requests 0 

Processed request 1554, latency 12, pending requests 0 

Processed request 1579, latency 33, pending requests 0 

Processed request 1593, latency 22, pending requests 0 

Processed request 1611, latency 17, pending requests 0 

Processed request 1633, latency 13, pending requests 0 

Processed request 1658, latency 13, pending requests 0 

Processed request 1679, latency 29, pending requests 0 

Processed request 1701, latency 38, pending requests 1 

Processed request 1730, latency 13, pending requests 0 

Processed request 1750, latency 30, pending requests 0 

Processed request 1768, latency 29, pending requests 1 

Processed request 1788, latency 35, pending requests 0 

Processed request 1811, latency 21, pending requests 0 

Processed request 1828, latency 32, pending requests 0 

Processed request 1845, latency 29, pending requests 1 

Processed request 1863, latency 17, pending requests 0 

